[243.0,81.0][300.0,105.0]Google 
[145.0,71.0][217.0,85.0]import time 
[145.0,87.0][229.0,101.0]import urllib 
[205.0,161.0][233.0,175.0]keys 
[145.0,175.0][233.0,189.0]elem. send_keys 
[169.0,265.0][211.0,279.0]IngUr] 
[169.0,279.0][233.0,293.0]urllib req 
[145.0,57.0][227.0,69.0]from selenium 
[187.0,145.0][227.0,157.0]driver 
[169.0,221.0][203.0,233.0]imape 
[695.0,453.0][723.0,465.0]더보기 
[144.18076807948097,207.42653765563668][175.9240168324219,215.57346234436332]count 
[170.0,296.0][202.0,304.0]CDunnt 
