[OBJECT] 
[323,125][611,434]사람 
[257,332][352,394]키보드 
[94,125][296,350]모니터 
[308,302][554,477]노트북 
[0,345][107,389]키보드 
[222,386][305,407]휴대폰 
[56,76][129,164]사람 
[1,152][151,335]모니터 
[104,333][146,384]컵 
[407,57][444,140]책 
[426,60][470,145]책 
[112,417][247,479]의자 
[0,385][40,414]마우스 
[465,103][633,320]사람 
[688,308][841,368]사람 
[463,93][570,236]사람 
[513,162][636,319]곰인형 
[292,300][549,476]의자 
